transaction_id,customer_id,date,merchant,category,transaction_type,amount,payment_method,status
TXN-200022,CUST-1112,2026-08-11,YouTube Premium,Entertainment,DEBIT,3244.75,Net Banking,SUCCESS
TXN-200023,CUST-1025,2026-06-12,Amazon,Shopping,DEBIT,7878.87,Net Banking,SUCCESS
TXN-200024,CUST-1014,2026-03-29,Uber,Travel,DEBIT,4577.59,UPI,SUCCESS
TXN-200025,CUST-1112,2026-06-07,Zomato,Food & Dining,DEBIT,4951.15,Debit Card,SUCCESS
TXN-200026,CUST-1061,2026-03-30,Uber,Travel,DEBIT,1011.29,Net Banking,PENDING
TXN-200027,CUST-1040,2026-04-30,Amazon,Shopping,DEBIT,1238.53,Credit Card,SUCCESS
TXN-200028,CUST-1021,2026-05-03,Netflix,Entertainment,DEBIT,1721.2,Credit Card,SUCCESS
TXN-200029,CUST-1098,2026-05-20,MedPlus,Healthcare,DEBIT,7830.16,UPI,SUCCESS
TXN-200030,CUST-1117,2026-03-08,Ola,Travel,DEBIT,2910.0,Debit Card,SUCCESS
TXN-200031,CUST-1082,2026-07-19,Ola,Travel,DEBIT,4944.5,Debit Card,SUCCESS
TXN-200032,CUST-1103,2026-07-29,Myntra,Shopping,DEBIT,1679.35,Net Banking,SUCCESS
TXN-200033,CUST-1102,2026-01-08,Bookstore,Education,DEBIT,3830.7,Debit Card,SUCCESS
TXN-200034,CUST-1120,2026-03-30,Decathlon,Shopping,DEBIT,7905.5,Credit Card,SUCCESS
TXN-200035,CUST-1026,2026-01-27,Domino's,Food & Dining,DEBIT,1714.55,UPI,SUCCESS
TXN-200036,CUST-1083,2026-06-17,Amazon,Shopping,DEBIT,6693.73,UPI,SUCCESS
TXN-200037,CUST-1026,2026-07-20,Water Bill,Bills & Utilities,DEBIT,7123.19,Net Banking,SUCCESS
TXN-200038,CUST-1093,2026-03-27,Haldiram's,Food & Dining,DEBIT,3758.97,UPI,SUCCESS
TXN-200039,CUST-1004,2026-02-13,Coursera,Education,DEBIT,4767.42,Net Banking,SUCCESS
TXN-200040,CUST-1077,2026-02-07,MakeMyTrip,Travel,DEBIT,5292.42,Credit Card,SUCCESS
TXN-200041,CUST-1002,2026-05-21,Blinkit,Food & Dining,DEBIT,5232.43,Debit Card,SUCCESS
TXN-200042,CUST-1112,2026-08-12,Zomato,Food & Dining,DEBIT,321.15,Debit Card,SUCCESS
TXN-200043,CUST-1042,2026-03-03,Electricity Board,Bills & Utilities,DEBIT,4400.39,Debit Card,SUCCESS
TXN-200044,CUST-1059,2026-07-09,Decathlon,Shopping,DEBIT,4708.46,Net Banking,SUCCESS
TXN-200045,CUST-1069,2026-08-13,Ola,Travel,DEBIT,4235.7,UPI,SUCCESS
TXN-200046,CUST-1001,2026-07-18,Zomato,Food & Dining,DEBIT,1461.54,Net Banking,SUCCESS
TXN-200047,CUST-1042,2026-01-31,Metro,Travel,DEBIT,4194.95,Net Banking,SUCCESS
TXN-200048,CUST-1008,2026-01-28,1mg,Healthcare,DEBIT,1611.32,UPI,SUCCESS
TXN-200049,CUST-1004,2026-05-10,Amazon,Shopping,DEBIT,3601.66,Debit Card,SUCCESS
TXN-200050,CUST-1104,2026-04-26,MakeMyTrip,Travel,DEBIT,4111.24,Debit Card,SUCCESS
TXN-200051,CUST-1119,2026-08-13,MedPlus,Healthcare,DEBIT,7390.0,Debit Card,SUCCESS
TXN-200052,CUST-1051,2026-02-05,Ajio,Shopping,DEBIT,2596.24,Debit Card,SUCCESS
TXN-200053,CUST-1101,2026-02-24,Airtel,Bills & Utilities,DEBIT,7186.51,Debit Card,SUCCESS
TXN-200054,CUST-1019,2026-06-14,Electricity Board,Bills & Utilities,DEBIT,7074.38,Net Banking,SUCCESS
TXN-200055,CUST-1063,2026-01-25,Myntra,Shopping,DEBIT,7919.98,Debit Card,SUCCESS
TXN-200056,CUST-1052,2026-04-21,Bookstore,Education,DEBIT,3428.08,Credit Card,SUCCESS
TXN-200057,CUST-1044,2026-07-04,Croma,Shopping,DEBIT,3723.5,UPI,SUCCESS
TXN-200058,CUST-1066,2026-05-13,Uber,Travel,DEBIT,991.51,Debit Card,PENDING
TXN-200059,CUST-1035,2026-01-27,Swiggy,Food & Dining,DEBIT,7256.6,Debit Card,SUCCESS
TXN-200060,CUST-1109,2026-02-03,BookMyShow,Entertainment,DEBIT,3306.99,Net Banking,SUCCESS
TXN-200061,CUST-1103,2026-01-23,Blinkit,Food & Dining,DEBIT,1548.42,UPI,SUCCESS
TXN-200062,CUST-1103,2026-01-05,IRCTC,Travel,DEBIT,761.57,Debit Card,SUCCESS
TXN-200063,CUST-1002,2026-08-09,Domino's,Food & Dining,DEBIT,7955.02,Net Banking,SUCCESS
TXN-200064,CUST-1006,2026-03-10,Rapido,Travel,DEBIT,5705.34,UPI,SUCCESS
TXN-200065,CUST-1026,2026-03-09,Domino's,Food & Dining,DEBIT,5066.5,Debit Card,SUCCESS
TXN-200066,CUST-1035,2026-05-09,Electricity Board,Bills & Utilities,DEBIT,6449.06,Credit Card,SUCCESS
TXN-200067,CUST-1071,2026-01-05,Jio,Bills & Utilities,DEBIT,4162.46,Debit Card,SUCCESS
TXN-200068,CUST-1084,2026-01-28,Water Bill,Bills & Utilities,DEBIT,5286.42,Net Banking,PENDING
TXN-200069,CUST-1030,2026-03-20,Electricity Board,Bills & Utilities,DEBIT,1669.13,Debit Card,SUCCESS
TXN-200070,CUST-1108,2026-03-30,Coursera,Education,DEBIT,212.62,Credit Card,SUCCESS
TXN-200071,CUST-1108,2026-01-15,Haldiram's,Food & Dining,DEBIT,6977.25,Credit Card,SUCCESS
TXN-200072,CUST-1059,2026-06-27,Myntra,Shopping,DEBIT,1344.51,Net Banking,SUCCESS
TXN-200073,CUST-1071,2026-04-04,Bookstore,Education,DEBIT,2031.13,Credit Card,SUCCESS
TXN-200074,CUST-1049,2026-02-16,Swiggy,Food & Dining,DEBIT,3849.68,Debit Card,SUCCESS
TXN-200075,CUST-1034,2026-07-18,Swiggy,Food & Dining,DEBIT,1236.53,UPI,SUCCESS
TXN-200076,CUST-1030,2026-03-18,Amazon,Shopping,DEBIT,4726.11,Debit Card,SUCCESS
TXN-200077,CUST-1077,2026-07-03,YouTube Premium,Entertainment,DEBIT,6138.06,Net Banking,SUCCESS
TXN-200078,CUST-1019,2026-07-05,Uber,Travel,DEBIT,6616.37,Net Banking,SUCCESS
TXN-200079,CUST-1117,2026-07-27,Rapido,Travel,DEBIT,6047.65,UPI,SUCCESS
TXN-200080,CUST-1092,2026-05-30,Spotify,Entertainment,DEBIT,772.22,UPI,SUCCESS
TXN-200081,CUST-1049,2026-04-03,Training Institute,Education,DEBIT,4512.37,UPI,SUCCESS
TXN-200082,CUST-1034,2026-06-24,Swiggy,Food & Dining,DEBIT,3709.89,UPI,SUCCESS
TXN-200083,CUST-1012,2026-05-09,Apollo Pharmacy,Healthcare,DEBIT,5991.25,Net Banking,SUCCESS
TXN-200084,CUST-1031,2026-01-20,Spotify,Entertainment,DEBIT,1922.82,Net Banking,SUCCESS
TXN-200085,CUST-1117,2026-04-08,Blinkit,Food & Dining,DEBIT,2369.82,UPI,SUCCESS
TXN-200086,CUST-1077,2026-06-14,Zomato,Food & Dining,DEBIT,2721.01,Credit Card,SUCCESS
TXN-200087,CUST-1008,2026-02-04,Haldiram's,Food & Dining,DEBIT,2223.3,UPI,SUCCESS
TXN-200088,CUST-1091,2026-06-22,Croma,Shopping,DEBIT,2355.79,Net Banking,SUCCESS
TXN-200089,CUST-1071,2026-01-31,Coursera,Education,DEBIT,2562.23,UPI,SUCCESS
TXN-200090,CUST-1010,2026-01-05,Croma,Shopping,DEBIT,7748.06,Net Banking,PENDING
TXN-200091,CUST-1120,2026-04-10,Zomato,Food & Dining,DEBIT,689.44,UPI,SUCCESS
TXN-200092,CUST-1047,2026-05-15,Zomato,Food & Dining,DEBIT,4866.59,Credit Card,SUCCESS
TXN-200093,CUST-1064,2026-06-30,Ajio,Shopping,DEBIT,3213.24,Debit Card,SUCCESS
TXN-200094,CUST-1052,2026-05-06,Electricity Board,Bills & Utilities,DEBIT,5844.74,Net Banking,SUCCESS
TXN-200095,CUST-1043,2026-03-22,Swiggy,Food & Dining,DEBIT,2663.93,Credit Card,SUCCESS
TXN-200096,CUST-1026,2026-01-31,Udemy,Education,DEBIT,7222.38,Credit Card,SUCCESS
TXN-200097,CUST-1112,2026-01-17,Croma,Shopping,DEBIT,703.57,Net Banking,SUCCESS
TXN-200098,CUST-1014,2026-08-07,Swiggy,Food & Dining,DEBIT,6693.94,Credit Card,SUCCESS
TXN-200099,CUST-1035,2026-02-08,Haldiram's,Food & Dining,DEBIT,4136.61,Debit Card,SUCCESS
TXN-200100,CUST-1114,2026-07-20,Udemy,Education,DEBIT,6514.5,Net Banking,SUCCESS
TXN-200101,CUST-1093,2026-05-22,Uber,Travel,DEBIT,490.86,Net Banking,SUCCESS
TXN-200102,CUST-1112,2026-07-12,Domino's,Food & Dining,DEBIT,3936.04,Debit Card,SUCCESS
TXN-200103,CUST-1039,2026-04-17,Flipkart,Shopping,DEBIT,5938.36,Credit Card,SUCCESS
TXN-200104,CUST-1072,2026-03-03,Decathlon,Shopping,DEBIT,3215.51,Debit Card,SUCCESS
TXN-200105,CUST-1116,2026-01-20,Haldiram's,Food & Dining,DEBIT,4448.05,Net Banking,SUCCESS
TXN-200106,CUST-1018,2026-07-14,Croma,Shopping,DEBIT,1620.02,UPI,SUCCESS
TXN-200107,CUST-1031,2026-05-23,Domino's,Food & Dining,DEBIT,2141.02,Debit Card,SUCCESS
TXN-200108,CUST-1050,2026-07-11,PharmEasy,Healthcare,DEBIT,5992.14,Debit Card,SUCCESS
TXN-200109,CUST-1064,2026-03-28,Electricity Board,Bills & Utilities,DEBIT,4636.82,Credit Card,SUCCESS
TXN-200110,CUST-1102,2026-05-09,Ola,Travel,DEBIT,831.53,Debit Card,SUCCESS
TXN-200111,CUST-1040,2026-06-15,Amazon,Shopping,DEBIT,1105.25,Net Banking,SUCCESS
TXN-200112,CUST-1076,2026-07-25,Ajio,Shopping,DEBIT,101.41,Net Banking,SUCCESS
TXN-200113,CUST-1060,2026-07-31,MakeMyTrip,Travel,DEBIT,2062.88,UPI,SUCCESS
TXN-200114,CUST-1088,2026-02-08,Uber,Travel,DEBIT,7537.78,Net Banking,SUCCESS
TXN-200115,CUST-1101,2026-07-18,Zomato,Food & Dining,DEBIT,1937.36,UPI,SUCCESS
TXN-200116,CUST-1081,2026-03-19,Bookstore,Education,DEBIT,4273.2,Net Banking,SUCCESS
TXN-200117,CUST-1039,2026-01-29,Starbucks,Food & Dining,DEBIT,7553.97,Debit Card,SUCCESS
TXN-200118,CUST-1001,2026-02-27,Netflix,Entertainment,DEBIT,4346.06,Net Banking,SUCCESS
TXN-200119,CUST-1114,2026-03-22,Jio,Bills & Utilities,DEBIT,3854.9,Debit Card,SUCCESS
TXN-200120,CUST-1091,2026-01-08,Bookstore,Education,DEBIT,536.94,Debit Card,SUCCESS
TXN-200121,CUST-1011,2026-06-22,Electricity Board,Bills & Utilities,DEBIT,1899.94,Net Banking,SUCCESS
TXN-200122,CUST-1090,2026-02-28,IRCTC,Travel,DEBIT,5774.82,Credit Card,SUCCESS
TXN-200123,CUST-1038,2026-02-20,Blinkit,Food & Dining,DEBIT,6776.68,UPI,SUCCESS
TXN-200124,CUST-1105,2026-02-21,Myntra,Shopping,DEBIT,1923.39,Debit Card,SUCCESS
TXN-200125,CUST-1080,2026-08-16,Ajio,Shopping,DEBIT,4919.78,Debit Card,SUCCESS
TXN-200126,CUST-1077,2026-06-20,Zomato,Food & Dining,DEBIT,7383.2,UPI,SUCCESS
TXN-200127,CUST-1007,2026-06-02,Blinkit,Food & Dining,DEBIT,575.07,Net Banking,SUCCESS
TXN-200128,CUST-1094,2026-07-02,Apollo Pharmacy,Healthcare,DEBIT,7980.49,Debit Card,SUCCESS
TXN-200129,CUST-1068,2026-02-17,Water Bill,Bills & Utilities,DEBIT,351.96,Net Banking,SUCCESS
TXN-200130,CUST-1014,2026-03-26,Amazon,Shopping,DEBIT,718.11,UPI,SUCCESS
TXN-200131,CUST-1098,2026-08-15,Zomato,Food & Dining,DEBIT,3103.02,Credit Card,SUCCESS
TXN-200132,CUST-1091,2026-04-21,Haldiram's,Food & Dining,DEBIT,1646.16,Net Banking,SUCCESS
TXN-200133,CUST-1061,2026-04-04,Airtel,Bills & Utilities,DEBIT,5090.13,Debit Card,SUCCESS
TXN-200134,CUST-1049,2026-07-16,Amazon,Shopping,DEBIT,3766.0,UPI,SUCCESS
TXN-200135,CUST-1078,2026-07-11,Domino's,Food & Dining,DEBIT,2967.5,Credit Card,SUCCESS
TXN-200136,CUST-1096,2026-06-07,Blinkit,Food & Dining,DEBIT,5547.66,Credit Card,SUCCESS
TXN-200137,CUST-1118,2026-07-04,Airtel,Bills & Utilities,DEBIT,291.63,Debit Card,SUCCESS
TXN-200138,CUST-1100,2026-07-03,Training Institute,Education,DEBIT,6339.41,Net Banking,SUCCESS
TXN-200139,CUST-1024,2026-02-03,Apollo Pharmacy,Healthcare,DEBIT,6440.29,Credit Card,SUCCESS
TXN-200140,CUST-1031,2026-07-17,Domino's,Food & Dining,DEBIT,6903.81,Net Banking,SUCCESS
TXN-200141,CUST-1066,2026-07-20,Ola,Travel,DEBIT,3194.31,Debit Card,SUCCESS
TXN-200142,CUST-1062,2026-01-17,Indane Gas,Bills & Utilities,DEBIT,4402.47,Debit Card,PENDING
TXN-200143,CUST-1010,2026-08-15,Domino's,Food & Dining,DEBIT,5034.35,Debit Card,SUCCESS
TXN-200144,CUST-1058,2026-05-08,Coursera,Education,DEBIT,1950.15,Net Banking,SUCCESS
TXN-200145,CUST-1069,2026-06-22,Blinkit,Food & Dining,DEBIT,6100.58,Credit Card,SUCCESS
TXN-200146,CUST-1033,2026-05-26,Blinkit,Food & Dining,DEBIT,2156.65,Net Banking,SUCCESS
TXN-200147,CUST-1037,2026-03-04,Starbucks,Food & Dining,DEBIT,1587.18,UPI,SUCCESS
TXN-200148,CUST-1030,2026-03-04,Metro,Travel,DEBIT,6486.7,Net Banking,PENDING
TXN-200149,CUST-1114,2026-01-27,Zomato,Food & Dining,DEBIT,6740.4,Credit Card,SUCCESS
TXN-200150,CUST-1007,2026-03-17,Zomato,Food & Dining,DEBIT,4843.9,Debit Card,SUCCESS
TXN-200151,CUST-1023,2026-04-06,MakeMyTrip,Travel,DEBIT,4864.03,UPI,SUCCESS
TXN-200152,CUST-1045,2026-06-02,Jio,Bills & Utilities,DEBIT,395.89,Credit Card,SUCCESS
TXN-200153,CUST-1005,2026-02-22,Coursera,Education,DEBIT,6536.48,Credit Card,SUCCESS
TXN-200154,CUST-1040,2026-04-06,Swiggy,Food & Dining,DEBIT,1706.92,Net Banking,SUCCESS
TXN-200155,CUST-1102,2026-01-17,Ajio,Shopping,DEBIT,5345.81,Debit Card,SUCCESS
TXN-200156,CUST-1051,2026-01-24,Electricity Board,Bills & Utilities,DEBIT,3337.33,Credit Card,SUCCESS
TXN-200157,CUST-1040,2026-04-17,Bookstore,Education,DEBIT,3371.23,UPI,SUCCESS
TXN-200158,CUST-1026,2026-07-25,Ajio,Shopping,DEBIT,5851.45,Debit Card,SUCCESS
TXN-200159,CUST-1055,2026-04-22,Apollo Pharmacy,Healthcare,DEBIT,6580.91,Net Banking,SUCCESS
TXN-200160,CUST-1021,2026-04-04,Myntra,Shopping,DEBIT,217.19,Debit Card,SUCCESS
TXN-200161,CUST-1080,2026-04-12,Domino's,Food & Dining,DEBIT,5924.27,Debit Card,SUCCESS
TXN-200162,CUST-1022,2026-03-14,Swiggy,Food & Dining,DEBIT,959.46,Net Banking,SUCCESS
TXN-200163,CUST-1026,2026-07-22,Bookstore,Education,DEBIT,1100.54,UPI,PENDING
TXN-200164,CUST-1078,2026-05-04,Decathlon,Shopping,DEBIT,3164.37,Debit Card,SUCCESS
TXN-200165,CUST-1052,2026-08-08,Starbucks,Food & Dining,DEBIT,6786.18,Net Banking,SUCCESS
TXN-200166,CUST-1067,2026-02-25,Zomato,Food & Dining,DEBIT,3130.25,UPI,SUCCESS
TXN-200167,CUST-1025,2026-07-05,Netflix,Entertainment,DEBIT,7082.51,UPI,SUCCESS
TXN-200168,CUST-1077,2026-03-24,Haldiram's,Food & Dining,DEBIT,4445.41,Credit Card,SUCCESS
TXN-200169,CUST-1055,2026-03-20,MakeMyTrip,Travel,DEBIT,5304.86,Net Banking,SUCCESS
TXN-200170,CUST-1080,2026-02-15,Haldiram's,Food & Dining,DEBIT,3775.66,Net Banking,SUCCESS
TXN-200171,CUST-1108,2026-07-19,Spotify,Entertainment,DEBIT,6503.18,Net Banking,SUCCESS
TXN-200172,CUST-1047,2026-02-02,Amazon,Shopping,DEBIT,6438.03,UPI,SUCCESS
TXN-200173,CUST-1094,2026-02-03,Domino's,Food & Dining,DEBIT,6243.33,UPI,SUCCESS
TXN-200174,CUST-1084,2026-05-10,1mg,Healthcare,DEBIT,304.27,UPI,PENDING
TXN-200175,CUST-1015,2026-07-07,Jio,Bills & Utilities,DEBIT,1139.78,Net Banking,SUCCESS
TXN-200176,CUST-1022,2026-07-27,1mg,Healthcare,DEBIT,617.58,Credit Card,SUCCESS
TXN-200177,CUST-1115,2026-03-06,Starbucks,Food & Dining,DEBIT,2272.44,Net Banking,SUCCESS
TXN-200178,CUST-1062,2026-05-09,Coursera,Education,DEBIT,4775.91,Debit Card,SUCCESS
TXN-200179,CUST-1052,2026-01-10,Zomato,Food & Dining,DEBIT,5128.92,Credit Card,SUCCESS
TXN-200180,CUST-1101,2026-04-07,Domino's,Food & Dining,DEBIT,1009.12,UPI,SUCCESS
TXN-200181,CUST-1058,2026-04-03,Udemy,Education,DEBIT,2091.05,Net Banking,SUCCESS
TXN-200182,CUST-1048,2026-04-06,Starbucks,Food & Dining,DEBIT,1254.94,Credit Card,SUCCESS
TXN-200183,CUST-1079,2026-04-24,Blinkit,Food & Dining,DEBIT,7668.04,Credit Card,SUCCESS
TXN-200184,CUST-1112,2026-03-06,Croma,Shopping,DEBIT,7434.83,Credit Card,SUCCESS
TXN-200185,CUST-1020,2026-07-11,Domino's,Food & Dining,DEBIT,4966.81,Net Banking,SUCCESS
TXN-200186,CUST-1017,2026-04-04,PharmEasy,Healthcare,DEBIT,1895.35,UPI,SUCCESS
TXN-200187,CUST-1039,2026-01-01,Uber,Travel,DEBIT,4232.4,Debit Card,SUCCESS
TXN-200188,CUST-1027,2026-03-19,IRCTC,Travel,DEBIT,5029.04,Net Banking,SUCCESS
TXN-200189,CUST-1032,2026-01-04,Coursera,Education,DEBIT,3661.74,UPI,SUCCESS
TXN-200190,CUST-1035,2026-08-12,Water Bill,Bills & Utilities,DEBIT,6511.41,UPI,SUCCESS
TXN-200191,CUST-1045,2026-07-30,Rapido,Travel,DEBIT,5200.27,Net Banking,SUCCESS
TXN-200192,CUST-1032,2026-05-13,Jio,Bills & Utilities,DEBIT,7237.68,UPI,SUCCESS
TXN-200193,CUST-1031,2026-01-07,Myntra,Shopping,DEBIT,561.2,UPI,SUCCESS
TXN-200194,CUST-1026,2026-05-22,Jio,Bills & Utilities,DEBIT,3364.11,Net Banking,SUCCESS
TXN-200195,CUST-1009,2026-02-14,IRCTC,Travel,DEBIT,5045.11,Net Banking,SUCCESS
TXN-200196,CUST-1056,2026-01-02,Decathlon,Shopping,DEBIT,7306.85,UPI,SUCCESS
TXN-200197,CUST-1014,2026-04-26,Domino's,Food & Dining,DEBIT,1935.14,UPI,SUCCESS
TXN-200198,CUST-1109,2026-07-11,MedPlus,Healthcare,DEBIT,5722.31,Credit Card,SUCCESS
TXN-200199,CUST-1101,2026-06-23,Croma,Shopping,DEBIT,7777.94,Credit Card,SUCCESS
TXN-200200,CUST-1065,2026-02-25,Swiggy,Food & Dining,DEBIT,1441.18,Debit Card,SUCCESS
TXN-200201,CUST-1096,2026-02-21,Bookstore,Education,DEBIT,1616.3,Net Banking,SUCCESS
TXN-200202,CUST-1110,2026-03-03,Decathlon,Shopping,DEBIT,7381.26,Net Banking,SUCCESS
TXN-200203,CUST-1110,2026-05-16,Airtel,Bills & Utilities,DEBIT,3553.99,Debit Card,SUCCESS
TXN-200204,CUST-1051,2026-03-20,Netflix,Entertainment,DEBIT,4565.12,Debit Card,SUCCESS
TXN-200205,CUST-1080,2026-01-07,Zomato,Food & Dining,DEBIT,2824.42,Debit Card,SUCCESS
TXN-200206,CUST-1089,2026-01-08,Blinkit,Food & Dining,DEBIT,5107.64,UPI,SUCCESS
TXN-200207,CUST-1098,2026-01-17,BookMyShow,Entertainment,DEBIT,1674.57,UPI,SUCCESS
TXN-200208,CUST-1050,2026-07-13,Apollo Pharmacy,Healthcare,DEBIT,2047.96,Debit Card,SUCCESS
TXN-200209,CUST-1117,2026-01-09,Udemy,Education,DEBIT,6617.98,Credit Card,SUCCESS
TXN-200210,CUST-1097,2026-02-03,Blinkit,Food & Dining,DEBIT,1719.45,Credit Card,SUCCESS
TXN-200211,CUST-1033,2026-03-08,Domino's,Food & Dining,DEBIT,482.42,Credit Card,SUCCESS
TXN-200212,CUST-1065,2026-07-16,Training Institute,Education,DEBIT,6825.88,UPI,SUCCESS
TXN-200213,CUST-1099,2026-01-08,Amazon,Shopping,DEBIT,2839.58,UPI,SUCCESS
TXN-200214,CUST-1106,2026-02-25,Airtel,Bills & Utilities,DEBIT,4638.87,Credit Card,SUCCESS
TXN-200215,CUST-1037,2026-01-01,Uber,Travel,DEBIT,134.46,Net Banking,SUCCESS
TXN-200216,CUST-1024,2026-06-27,YouTube Premium,Entertainment,DEBIT,4781.18,Credit Card,SUCCESS
TXN-200217,CUST-1028,2026-02-10,Decathlon,Shopping,DEBIT,1929.07,Debit Card,SUCCESS
TXN-200218,CUST-1063,2026-06-12,Indane Gas,Bills & Utilities,DEBIT,6316.77,Credit Card,SUCCESS
TXN-200219,CUST-1115,2026-04-13,Apollo Pharmacy,Healthcare,DEBIT,3434.83,UPI,SUCCESS
TXN-200220,CUST-1116,2026-03-19,Starbucks,Food & Dining,DEBIT,4059.4,Net Banking,PENDING
TXN-200221,CUST-1059,2026-06-11,Zomato,Food & Dining,DEBIT,4299.2,UPI,SUCCESS
TXN-200222,CUST-1112,2026-03-25,MakeMyTrip,Travel,DEBIT,5330.59,Credit Card,SUCCESS
TXN-200223,CUST-1033,2026-04-23,Indane Gas,Bills & Utilities,DEBIT,1925.09,Credit Card,SUCCESS
TXN-200224,CUST-1065,2026-08-15,Jio,Bills & Utilities,DEBIT,2213.11,Debit Card,SUCCESS
TXN-200225,CUST-1078,2026-03-05,Indane Gas,Bills & Utilities,DEBIT,2854.19,Debit Card,SUCCESS
TXN-200226,CUST-1094,2026-02-18,Swiggy,Food & Dining,DEBIT,1400.35,UPI,SUCCESS
TXN-200227,CUST-1102,2026-02-08,Bookstore,Education,DEBIT,5893.01,Net Banking,SUCCESS
TXN-200228,CUST-1014,2026-01-28,IRCTC,Travel,DEBIT,1730.91,Net Banking,SUCCESS
TXN-200229,CUST-1102,2026-01-04,Ajio,Shopping,DEBIT,5578.17,Credit Card,SUCCESS
TXN-200230,CUST-1095,2026-02-06,Haldiram's,Food & Dining,DEBIT,143.59,Debit Card,SUCCESS
TXN-200231,CUST-1076,2026-04-21,Water Bill,Bills & Utilities,DEBIT,6783.35,Debit Card,SUCCESS
TXN-200232,CUST-1056,2026-06-14,Domino's,Food & Dining,DEBIT,2152.48,UPI,SUCCESS
TXN-200233,CUST-1092,2026-03-04,Spotify,Entertainment,DEBIT,2075.48,Net Banking,SUCCESS
TXN-200234,CUST-1053,2026-01-06,Rapido,Travel,DEBIT,5434.44,Debit Card,SUCCESS
TXN-200235,CUST-1050,2026-03-25,YouTube Premium,Entertainment,DEBIT,7274.72,UPI,SUCCESS
TXN-200236,CUST-1092,2026-05-20,Zomato,Food & Dining,DEBIT,4201.84,UPI,SUCCESS
TXN-200237,CUST-1092,2026-04-27,MakeMyTrip,Travel,DEBIT,4146.31,Credit Card,SUCCESS
TXN-200238,CUST-1059,2026-04-16,Jio,Bills & Utilities,DEBIT,7923.2,Debit Card,SUCCESS
TXN-200239,CUST-1094,2026-07-15,Bookstore,Education,DEBIT,5136.79,Credit Card,SUCCESS
TXN-200240,CUST-1010,2026-04-13,Haldiram's,Food & Dining,DEBIT,7331.94,Credit Card,SUCCESS
TXN-200241,CUST-1095,2026-01-28,Haldiram's,Food & Dining,DEBIT,7525.46,Debit Card,PENDING
TXN-200242,CUST-1022,2026-04-11,Myntra,Shopping,DEBIT,7442.41,UPI,SUCCESS
TXN-200243,CUST-1083,2026-06-12,Starbucks,Food & Dining,DEBIT,5793.57,Debit Card,SUCCESS
TXN-200244,CUST-1102,2026-06-13,YouTube Premium,Entertainment,DEBIT,3798.0,Credit Card,SUCCESS
TXN-200245,CUST-1107,2026-06-16,Haldiram's,Food & Dining,DEBIT,2902.49,Debit Card,SUCCESS
TXN-200246,CUST-1055,2026-04-07,Jio,Bills & Utilities,DEBIT,3904.39,Credit Card,SUCCESS
TXN-200247,CUST-1062,2026-06-17,Ajio,Shopping,DEBIT,3485.1,UPI,SUCCESS
TXN-200248,CUST-1039,2026-04-03,Haldiram's,Food & Dining,DEBIT,550.8,Credit Card,SUCCESS
